brand_name,variant,corpus,raw_count,category,query_type,is_fictional,familiarity_tier,query_string
Adidas,Adidas,RedPajama,1517645,all,brand_only,False,high,Adidas
Adidas,adidas,RedPajama,791427,all,brand_only,False,high,adidas
Adidas,ADIDAS,RedPajama,28523,all,brand_only,False,high,ADIDAS
Adidas,Adidas+running shoes,RedPajama,1399,running_shoes,brand_category,False,high,Adidas running shoes
Adidas,Adidas+review,RedPajama,7,all,context_review,False,high,Adidas review
Adidas,Adidas+best,RedPajama,64,all,context_best,False,high,Adidas best
Adidas,Adidas+vs,RedPajama,429,all,context_vs,False,high,Adidas vs
Adidas,Adidas,Dolma,2792642,all,brand_only,False,high,Adidas
Adidas,adidas,Dolma,1648382,all,brand_only,False,high,adidas
Adidas,ADIDAS,Dolma,34546,all,brand_only,False,high,ADIDAS
Adidas,Adidas+running shoes,Dolma,5014,running_shoes,brand_category,False,high,Adidas running shoes
Adidas,Adidas+review,Dolma,49,all,context_review,False,high,Adidas review
Adidas,Adidas+best,Dolma,207,all,context_best,False,high,Adidas best
Adidas,Adidas+vs,Dolma,1360,all,context_vs,False,high,Adidas vs
Adidas,Adidas,Pile,150873,all,brand_only,False,high,Adidas
Adidas,adidas,Pile,84026,all,brand_only,False,high,adidas
Adidas,ADIDAS,Pile,2189,all,brand_only,False,high,ADIDAS
Adidas,Adidas+running shoes,Pile,299,running_shoes,brand_category,False,high,Adidas running shoes
Adidas,Adidas+review,Pile,1,all,context_review,False,high,Adidas review
Adidas,Adidas+best,Pile,6,all,context_best,False,high,Adidas best
Adidas,Adidas+vs,Pile,40,all,context_vs,False,high,Adidas vs
Adidas,Adidas,C4,437361,all,brand_only,False,high,Adidas
Adidas,adidas,C4,359805,all,brand_only,False,high,adidas
Adidas,ADIDAS,C4,13106,all,brand_only,False,high,ADIDAS
Adidas,Adidas+running shoes,C4,615,running_shoes,brand_category,False,high,Adidas running shoes
Adidas,Adidas+review,C4,1,all,context_review,False,high,Adidas review
Adidas,Adidas+best,C4,34,all,context_best,False,high,Adidas best
Adidas,Adidas+vs,C4,57,all,context_vs,False,high,Adidas vs
Apple,Apple,RedPajama,51655607,all,brand_only,False,high,Apple
Apple,apple,RedPajama,8448705,all,brand_only,False,high,apple
Apple,APPLE,RedPajama,300674,all,brand_only,False,high,APPLE
Apple,Apple+laptop,RedPajama,25155,laptops,brand_category,False,high,Apple laptop
Apple,Apple+smartphone,RedPajama,13534,smartphones,brand_category,False,high,Apple smartphone
Apple,Apple+smartwatch,RedPajama,5158,smartwatches,brand_category,False,high,Apple smartwatch
Apple,Apple+tablet,RedPajama,19031,tablets,brand_category,False,high,Apple tablet
Apple,Apple+earbuds,RedPajama,3201,wireless_earbuds,brand_category,False,high,Apple earbuds
Apple,Apple+review,RedPajama,2387,all,context_review,False,high,Apple review
Apple,Apple+best,RedPajama,705,all,context_best,False,high,Apple best
Apple,Apple+vs,RedPajama,27097,all,context_vs,False,high,Apple vs
Apple,Apple,Dolma,96942615,all,brand_only,False,high,Apple
Apple,apple,Dolma,28637969,all,brand_only,False,high,apple
Apple,APPLE,Dolma,500060,all,brand_only,False,high,APPLE
Apple,Apple+laptop,Dolma,62685,laptops,brand_category,False,high,Apple laptop
Apple,Apple+smartphone,Dolma,36480,smartphones,brand_category,False,high,Apple smartphone
Apple,Apple+smartwatch,Dolma,13152,smartwatches,brand_category,False,high,Apple smartwatch
Apple,Apple+tablet,Dolma,46614,tablets,brand_category,False,high,Apple tablet
Apple,Apple+earbuds,Dolma,12154,wireless_earbuds,brand_category,False,high,Apple earbuds
Apple,Apple+review,Dolma,5734,all,context_review,False,high,Apple review
Apple,Apple+best,Dolma,1799,all,context_best,False,high,Apple best
Apple,Apple+vs,Dolma,41218,all,context_vs,False,high,Apple vs
Apple,Apple,Pile,7230856,all,brand_only,False,high,Apple
Apple,apple,Pile,2079992,all,brand_only,False,high,apple
Apple,APPLE,Pile,199538,all,brand_only,False,high,APPLE
Apple,Apple+laptop,Pile,3704,laptops,brand_category,False,high,Apple laptop
Apple,Apple+smartphone,Pile,1424,smartphones,brand_category,False,high,Apple smartphone
Apple,Apple+smartwatch,Pile,439,smartwatches,brand_category,False,high,Apple smartwatch
Apple,Apple+tablet,Pile,2797,tablets,brand_category,False,high,Apple tablet
Apple,Apple+earbuds,Pile,591,wireless_earbuds,brand_category,False,high,Apple earbuds
Apple,Apple+review,Pile,802,all,context_review,False,high,Apple review
Apple,Apple+best,Pile,108,all,context_best,False,high,Apple best
Apple,Apple+vs,Pile,3569,all,context_vs,False,high,Apple vs
Apple,Apple,C4,8777466,all,brand_only,False,high,Apple
Apple,apple,C4,2737021,all,brand_only,False,high,apple
Apple,APPLE,C4,52704,all,brand_only,False,high,APPLE
Apple,Apple+laptop,C4,7683,laptops,brand_category,False,high,Apple laptop
Apple,Apple+smartphone,C4,3296,smartphones,brand_category,False,high,Apple smartphone
Apple,Apple+smartwatch,C4,892,smartwatches,brand_category,False,high,Apple smartwatch
Apple,Apple+tablet,C4,4587,tablets,brand_category,False,high,Apple tablet
Apple,Apple+earbuds,C4,915,wireless_earbuds,brand_category,False,high,Apple earbuds
Apple,Apple+review,C4,534,all,context_review,False,high,Apple review
Apple,Apple+best,C4,157,all,context_best,False,high,Apple best
Apple,Apple+vs,C4,3230,all,context_vs,False,high,Apple vs
Beats,Beats,RedPajama,1890668,all,brand_only,False,high,Beats
Beats,Beats by Dre,RedPajama,36343,all,brand_only,False,high,Beats by Dre
Beats,Beats by Dr. Dre,RedPajama,12623,all,brand_only,False,high,Beats by Dr. Dre
Beats,Beats+headphones,RedPajama,25189,headphones,brand_category,False,high,Beats headphones
Beats,Beats+earbuds,RedPajama,705,wireless_earbuds,brand_category,False,high,Beats earbuds
Beats,Beats+review,RedPajama,124,all,context_review,False,high,Beats review
Beats,Beats+best,RedPajama,28,all,context_best,False,high,Beats best
Beats,Beats+vs,RedPajama,1124,all,context_vs,False,high,Beats vs
Beats,Beats,Dolma,2502075,all,brand_only,False,high,Beats
Beats,Beats by Dre,Dolma,65493,all,brand_only,False,high,Beats by Dre
Beats,Beats by Dr. Dre,Dolma,26641,all,brand_only,False,high,Beats by Dr. Dre
Beats,Beats+headphones,Dolma,59663,headphones,brand_category,False,high,Beats headphones
Beats,Beats+earbuds,Dolma,2477,wireless_earbuds,brand_category,False,high,Beats earbuds
Beats,Beats+review,Dolma,168,all,context_review,False,high,Beats review
Beats,Beats+best,Dolma,79,all,context_best,False,high,Beats best
Beats,Beats+vs,Dolma,552,all,context_vs,False,high,Beats vs
Beats,Beats,Pile,184409,all,brand_only,False,high,Beats
Beats,Beats by Dre,Pile,3499,all,brand_only,False,high,Beats by Dre
Beats,Beats by Dr. Dre,Pile,1777,all,brand_only,False,high,Beats by Dr. Dre
Beats,Beats+headphones,Pile,3502,headphones,brand_category,False,high,Beats headphones
Beats,Beats+earbuds,Pile,60,wireless_earbuds,brand_category,False,high,Beats earbuds
Beats,Beats+review,Pile,3,all,context_review,False,high,Beats review
Beats,Beats+best,Pile,4,all,context_best,False,high,Beats best
Beats,Beats+vs,Pile,13,all,context_vs,False,high,Beats vs
Beats,Beats,C4,228331,all,brand_only,False,high,Beats
Beats,Beats by Dre,C4,6484,all,brand_only,False,high,Beats by Dre
Beats,Beats by Dr. Dre,C4,3472,all,brand_only,False,high,Beats by Dr. Dre
Beats,Beats+headphones,C4,4833,headphones,brand_category,False,high,Beats headphones
Beats,Beats+earbuds,C4,85,wireless_earbuds,brand_category,False,high,Beats earbuds
Beats,Beats+review,C4,16,all,context_review,False,high,Beats review
Beats,Beats+best,C4,5,all,context_best,False,high,Beats best
Beats,Beats+vs,C4,43,all,context_vs,False,high,Beats vs
Bose,Bose,RedPajama,1765191,all,brand_only,False,high,Bose
Bose,BOSE,RedPajama,59730,all,brand_only,False,high,BOSE
Bose,bose,RedPajama,51038,all,brand_only,False,high,bose
Bose,Bose+headphones,RedPajama,12421,headphones,brand_category,False,high,Bose headphones
Bose,Bose+speaker,RedPajama,4002,portable_speakers,brand_category,False,high,Bose speaker
Bose,Bose+review,RedPajama,163,all,context_review,False,high,Bose review
Bose,Bose+best,RedPajama,18,all,context_best,False,high,Bose best
Bose,Bose+vs,RedPajama,286,all,context_vs,False,high,Bose vs
Bose,Bose,Dolma,3287576,all,brand_only,False,high,Bose
Bose,BOSE,Dolma,100309,all,brand_only,False,high,BOSE
Bose,bose,Dolma,187163,all,brand_only,False,high,bose
Bose,Bose+headphones,Dolma,39273,headphones,brand_category,False,high,Bose headphones
Bose,Bose+speaker,Dolma,16861,portable_speakers,brand_category,False,high,Bose speaker
Bose,Bose+review,Dolma,93,all,context_review,False,high,Bose review
Bose,Bose+best,Dolma,137,all,context_best,False,high,Bose best
Bose,Bose+vs,Dolma,779,all,context_vs,False,high,Bose vs
Bose,Bose,Pile,577211,all,brand_only,False,high,Bose
Bose,BOSE,Pile,6694,all,brand_only,False,high,BOSE
Bose,bose,Pile,12987,all,brand_only,False,high,bose
Bose,Bose+headphones,Pile,1446,headphones,brand_category,False,high,Bose headphones
Bose,Bose+speaker,Pile,436,portable_speakers,brand_category,False,high,Bose speaker
Bose,Bose+review,Pile,17,all,context_review,False,high,Bose review
Bose,Bose+best,Pile,3,all,context_best,False,high,Bose best
Bose,Bose+vs,Pile,30,all,context_vs,False,high,Bose vs
Bose,Bose,C4,240343,all,brand_only,False,high,Bose
Bose,BOSE,C4,15283,all,brand_only,False,high,BOSE
Bose,bose,C4,28895,all,brand_only,False,high,bose
Bose,Bose+headphones,C4,2780,headphones,brand_category,False,high,Bose headphones
Bose,Bose+speaker,C4,1555,portable_speakers,brand_category,False,high,Bose speaker
Bose,Bose+review,C4,8,all,context_review,False,high,Bose review
Bose,Bose+best,C4,11,all,context_best,False,high,Bose best
Bose,Bose+vs,C4,31,all,context_vs,False,high,Bose vs
